Team_Name,URL,Is_Ferroviario,Is_Bravehearts
Teams,https://bal.nba.com//teams?season=2025,False,False
Teams,https://bal.nba.com//teams?season=2025,False,False
APR (RWANDA),/teams/apr,False,False
ASC Ville De Dakar (SENEGAL),/teams/asc-ville-de-dakar-senegal,False,False
Al Ittihad (EGYPT),/teams/al-ittihad-egypt,False,False
Alahli Tripoli (LIBYA),/teams/alahli-tripoli-libya,False,False
FUS de Rabat (MOROCCO),/teams/fus-de-rabat,False,False
Kriol Star (CAPE VERDE),/teams/kriol-star-cape-verde,False,False
MBB (SOUTH AFRICA),/teams/mbb-south-africa,False,False
Nairobi City Thunder (KENYA),/teams/nairobi-city-thunder-kenya,False,False
Petro de Luanda (ANGOLA),/teams/atletico-petroleos-de-luanda-angola,False,False
Rivers Hoopers (NIGERIA),/teams/rivers-hoopers-nigeria,False,False
Stade Malien (MALI),/teams/stade-malien-mali,False,False
U.S. Monastir (TUNISIA),/teams/u-s-monastir-tunisia,False,False
Teams,https://bal.nba.com//teams?season=2025,False,False
Teams,https://bal.nba.com/teams,False,False
