Jersey,Name,Games,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,ORB,DRB,REB,AST,PF,STL,BLK,TO,PTS,RNK
2,"Iroegbu, Uchenna",6,26.0,17-36,47.2,13-37,35.1,11-22,50.0,0.8,3.7,4.5,4.5,2.8,1.0,0.3,3.2,14.0,11.8
14,"Odero, Albert",6,24.3,25-49,51.0,8-24,33.3,10-20,50.0,1.3,2.2,3.5,1.3,2.0,0.7,0.7,2.7,14.0,9.5
23,"Ongwae, Tylor",6,33.8,15-31,48.4,11-42,26.2,6-7,85.7,2.2,4.0,6.2,2.8,3.0,1.2,0.3,1.2,11.5,10.5
10,"Ding, Garang",6,29.0,16-31,51.6,3-17,17.6,8-12,66.7,1.3,3.3,4.7,2.8,3.2,1.0,0.8,1.2,8.2,9.2
11,"Adera, Eugene",6,26.5,20-43,46.5,0-7,0.0,6-12,50.0,3.0,4.3,7.3,4.0,1.7,1.0,0,2.3,7.7,10.8
6,"Davis II, Will",6,19.5,14-32,43.8,2-11,18.2,7-10,70.0,1.8,3.0,4.8,1.0,1.2,0.8,0.5,1.2,6.8,7.2
4,"Kabongo, Yohane",6,8.5,7-12,58.3,1-3,33.3,8-14,57.1,0.7,1.2,1.8,0.2,1.0,0.3,0.2,0.2,4.2,4.5
1,"Ganapamo, Evans",5,18.4,3-19,15.8,10-29,34.5,5-9,55.6,0.4,1.4,1.8,1.0,0.4,0.8,0,1.2,8.2,2.6
24,"Diong, Cheikh",4,18.5,10-18,55.6,0-2,0.0,3-4,75.0,2.5,3.5,6.0,0.8,2.8,0.8,0.3,1.3,5.8,7.0
7,"Wachira, Kennedy",3,5.3,0-2,0.0,2-5,40.0,0-0,0.0,0.7,0,0.7,0.3,1.3,0,0,0,2.0,0.0
15,"Koranga, Ariell Okall",3,11.7,2-5,40.0,0-0,0.0,0-0,0.0,0.7,1.3,2.0,1.0,1.0,1.3,0.3,1.0,1.3,3.3
41,"Ereng, Paul",1,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,2.0,2.0
2,"Iroegbu, Uchenna",6,26.0,17-36,47.2,13-37,35.1,11-22,50.0,0.8,3.7,4.5,4.5,2.8,1.0,0.3,3.2,14.0,11.8
14,"Odero, Albert",6,24.3,25-49,51.0,8-24,33.3,10-20,50.0,1.3,2.2,3.5,1.3,2.0,0.7,0.7,2.7,14.0,9.5
23,"Ongwae, Tylor",6,33.8,15-31,48.4,11-42,26.2,6-7,85.7,2.2,4.0,6.2,2.8,3.0,1.2,0.3,1.2,11.5,10.5
10,"Ding, Garang",6,29.0,16-31,51.6,3-17,17.6,8-12,66.7,1.3,3.3,4.7,2.8,3.2,1.0,0.8,1.2,8.2,9.2
11,"Adera, Eugene",6,26.5,20-43,46.5,0-7,0.0,6-12,50.0,3.0,4.3,7.3,4.0,1.7,1.0,0,2.3,7.7,10.8
6,"Davis II, Will",6,19.5,14-32,43.8,2-11,18.2,7-10,70.0,1.8,3.0,4.8,1.0,1.2,0.8,0.5,1.2,6.8,7.2
4,"Kabongo, Yohane",6,8.5,7-12,58.3,1-3,33.3,8-14,57.1,0.7,1.2,1.8,0.2,1.0,0.3,0.2,0.2,4.2,4.5
1,"Ganapamo, Evans",5,18.4,3-19,15.8,10-29,34.5,5-9,55.6,0.4,1.4,1.8,1.0,0.4,0.8,0,1.2,8.2,2.6
24,"Diong, Cheikh",4,18.5,10-18,55.6,0-2,0.0,3-4,75.0,2.5,3.5,6.0,0.8,2.8,0.8,0.3,1.3,5.8,7.0
7,"Wachira, Kennedy",3,5.3,0-2,0.0,2-5,40.0,0-0,0.0,0.7,0,0.7,0.3,1.3,0,0,0,2.0,0.0
15,"Koranga, Ariell Okall",3,11.7,2-5,40.0,0-0,0.0,0-0,0.0,0.7,1.3,2.0,1.0,1.0,1.3,0.3,1.0,1.3,3.3
41,"Ereng, Paul",1,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,2.0,2.0
