team_name,team_code,profile_url,team_slug
Al Ahly Benghazi,AHL,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/al-ahly-benghazi,al-ahly-benghazi
AS Douanes,ASD,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/as-douanes,as-douanes
ASB New Generation,NWG,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/asb-new-generation,asb-new-generation
Basket Hounds,HOU,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/basket-hounds,basket-hounds
Bravehearts Basketball Club,BHB,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/bravehearts-basketball-club,bravehearts-basketball-club
Centre de Reference de Basketball de Tombouctou,CRBT,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/centre-de-reference-de-basketball-de-tombouctou,centre-de-reference-de-basketball-de-tombouctou
Centre Fédéral de Guinée,CFG,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/centre-federal-de-guinee,centre-federal-de-guinee
Dar City Basketball Team,DAR,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/dar-city-basketball-team,dar-city-basketball-team
Djabal Club,DJA,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/djabal-club,djabal-club
Dolphins Basketball Club,DOL,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/dolphins-basketball-club,dolphins-basketball-club
Elan Coton BBC,COT,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/elan-coton-bbc,elan-coton-bbc
Ferroviario da Beira,FBE,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/ferroviario-da-beira,ferroviario-da-beira
Jeunesse Club d'Abidjan,JCA,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/jeunesse-club-dabidjan,jeunesse-club-dabidjan
Johannesburg Giants,JOH,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/johannesburg-giants,johannesburg-giants
Kriol Star,KRS,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/kriol-star,kriol-star
LPRC Oilers,LPRC,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/lprc-oilers,lprc-oilers
Matero Magic,MMA,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/matero-magic,matero-magic
Moanda BB,MOA,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/moanda-bb,moanda-bb
Nairobi City Thunder,NCT,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/nairobi-city-thunder,nairobi-city-thunder
Namuwongo Blazers,NAM,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/namuwongo-blazers,namuwongo-blazers
New Tech Université Club,NTE,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/new-tech-universite-club,new-tech-universite-club
Roche-Bois Warriors Sports Club,RWS,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/roche-bois-warriors-sports-club,roche-bois-warriors-sports-club
Spintex Knights,SPK,https://www.fiba.basketball/en/events/fiba-africa-champions-clubs-road-to-bal-2026/teams/spintex-knights,spintex-knights
